Region,aantal,Primary education,Lower secondary education,Vocational training,Higher education (Bachelor),Higher education (Master/Doctor),Jaar,Region_clean
Noordoost-Noord-Brabant (CR),500300.0,9.0,20.9,41.9,19.1,9.1,2018,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),587800.0,9.3,19.6,40.7,19.7,10.7,2018,Zuidoost-Noord-Brabant
Noord-Limburg (CR),215000.0,10.3,22.5,43.9,17.1,6.1,2018,Noord-Limburg
Midden-Limburg (CR),181200.0,10.1,21.1,43.3,18.7,6.9,2018,Midden-Limburg
Zuid-Limburg (CR),462200.0,11.1,20.6,41.7,17.6,8.9,2018,Zuid-Limburg
Flevoland (CR),316400.0,9.5,20.6,45.9,17.3,6.6,2018,Flevoland
Oost-Groningen (CR),101500.0,11.9,23.5,47.7,13.0,3.9,2019,Oost-Groningen
Delfzijl en omgeving (CR),34400.0,9.6,21.6,51.1,13.9,3.9,2019,Delfzijl en omgeving
Overig Groningen (CR),318900.0,7.3,15.1,42.9,21.8,13.0,2019,Overig Groningen
Noord-Friesland (CR),242100.0,9.3,20.2,46.4,18.5,5.6,2019,Noord-Friesland
Zuidwest-Friesland (CR),105000.0,8.0,21.3,47.1,18.0,5.6,2019,Zuidwest-Friesland
Zuidoost-Friesland (CR),139500.0,8.5,21.1,46.1,18.1,6.1,2019,Zuidoost-Friesland
Noord-Drenthe (CR),142900.0,7.1,17.6,45.1,21.0,9.3,2019,Noord-Drenthe
Zuidoost-Drenthe (CR),127000.0,10.9,22.9,47.6,14.3,4.2,2019,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),99000.0,9.7,21.1,46.3,16.5,6.4,2019,Zuidwest-Drenthe
Noord-Overijssel (CR),278300.0,8.6,20.3,44.4,19.2,7.4,2019,Noord-Overijssel
Zuidwest-Overijssel (CR),118300.0,8.4,18.3,44.0,20.1,9.2,2019,Zuidwest-Overijssel
Twente (CR),474900.0,9.7,19.4,45.1,18.7,7.1,2019,Twente
Veluwe (CR),515900.0,9.2,20.4,43.0,18.7,8.7,2019,Veluwe
Achterhoek (CR),302200.0,8.6,21.1,46.0,17.8,6.5,2019,Achterhoek
Arnhem/Nijmegen (CR),572000.0,9.1,17.7,39.5,20.9,12.8,2019,Arnhem
Zuidwest-Gelderland (CR),186100.0,10.0,23.4,43.6,15.9,7.1,2019,Zuidwest-Gelderland
Utrecht (CR),1021700.0,8.1,16.4,36.9,21.6,17.0,2019,Utrecht
